importer,ABW,AFG,AGO,AIA,ALB,AND,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BES,BFA,BGD,BGR,BHR,BHS,BIH,BLM,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CUW,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FRO,FSM,GAB,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MNP,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,PYF,QAT,ROU,RUS,RWA,S19,SAU,SDN,SEN,SGP,SHN,SLB,SLE,SLV,SMR,SOM,SPM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKL,TKM,TLS,TON,TTO,TUN,TUR,TUV,TZA,UGA,UKR,URY,USA,UZB,VAT,VCT,VEN,VGB,VNM,VUT,WLF,WSM,YEM,ZAF,ZMB,ZWE
ABW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28417110.773,0,0,0,0,0,0,0,0,66761254.908,0,0,0,0,0,35552456.482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15790004.247,0,0,0,0,0,0,0,0,13006668.532,0,0,0,0,0,0,0,0,0,0,0,0,5854450.755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30068203.487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194698125.188,0,0,0,0,0,0,33032313.501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9129.609,774701949.853,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,0,0,0,0,0,0,2211240489.8459997,0,0,0,42906.712799999994,15823160.422799999,332296.35599999997,0,96236772.2952,0,0,0,0,2506189.4472,0,3840,206834.31360000002,0,0,0,0,0,4830912,0,0,0,0,0,12574450.9116,6861994.7436,26274.6432,1522573699.2,0,0,0,0,0,0,0,0,1440,0,0,0,2803734.2892,567571.2,50517987.9576,0,0,8784197.8404,0,0,0,1083292.5648,0,8002303.986,0,0,2465825.7348,0,23188391.604000002,0,0,0,4783332.5904,67203.8484,0,0,0,0,0,0,3843087.3144,0,0,3673074,0,239961.26159999997,0,472914,0,2575191.6,6125006.31,434660476.62,3937247.214,0,0,0,0,16432171.997999998,0,2161823.7396,16882828.3932,738614059.1999999,39521476.416,17847748.8,0,0,0,0,150007.6068,0,609818.4,0,0,0,1203573.1008,0,4597826.399999999,10009489.762799999,150703.3272,0,1813724.4623999998,383379.6,3267546.264,0,0,0,129758.4732,0,0,0,6488.5235999999995,0,0,44400,0,0,0,0,404039737.6296,0,0,0,0,0,0,19599956.0232,220232.83199999997,0,0,0,901878.8028,1162843219.8948,0,0,2052930,0,0,7707136.8,0,630401.2308,0,0,0,0,685453.56,0,0,200572.3344,3861137.8236,0,252915.93959999998,1551894.6036,0,0,0,0,0,0,0,537110.4,0,0,0,984483.4008,1324301.9039999999,2810513.2308,17182.079999999998,0,0,0,0,0,0,12643912.4868,0,0,0,0,0,0,509434.31159999996,307696384.8,0,9725.988,0,1254655.404,0,59707254,919161009.0719999,0,0,0,0,0,0,0,0,0,847073.2776,0,0
AGO,0,0,0,0,0,1522.6488,639259723.2515999,46825694.472,0,0,9935602.9524,10347717.338399999,190660.824,0,271914407.67359996,64722.882,0,50098.373999999996,0,3936550.7855999996,4221327.6732,0,2203616.2788,0,0,0,0,886117.7999999999,491723151.59999996,0,0,0,2685077.0004,0,49778781.85919999,13519427.872799998,559364.772,4969441360.8,436085889.4548,0,0,0,0,3127026.1799999997,0,186985.097,2304,0,0,0,308341.9128,20283048,362834274.7824,243707.2224,0,13548083.6784,98857.9152,0,595540.68,25543813.8024,0,148120217.118,11737103.352,120368.93879999999,12929519.5128,0,347077227.0156,0,0,69904998.21959999,437306885.40360004,0,22434765.0552,0,0,0,0,0,3614657.2092,0,0,68530.8,733049.6196,30347554.1652,0,5742753.6,0,11382949.2,195588104.4096,761206143.3888,31222064.774399996,0,0,581.718,0,568701321.1728,6025.896,196906.22520000002,56991114.16199999,814375.4639999999,3329419.5023999996,0,0,0,0,0,3599745.0396,0,25877188.8,6109.62,0,0,2614532.496,0,45629541.6,4200542.4072,37015912.0584,0,17107048.3644,25239.6,2695.272,0,4474088.399999999,0,408270.0492,0,4496042.0796,0,1182.456,0,0,4371600,1144759.1208,0,365871.70079999993,4737583.3319999995,147638202.38639998,43828910.4816,0,5741.407200000001,6470156.267999999,21318,0,545854619.1036,125682726.23519999,0,0,3815914.272,9404008.308,19652131.159199998,0,33559.416,1658101.2,0,0,116599549.2,0,1639227357.51,32474359.847999997,0,0,13470586.904399998,10751931.216,0,0,49136798.3904,103839175.64400001,0,3192832.5096,233247111.2916,0,0,0,877.1999999999999,0,0,0,12584374.799999999,0,73016.2416,0,3717684.3756,2452077.3299999996,46188325.05239999,12761133.095999999,0,0,0,0,0,6349265.8824,123460418.7132,0,0,0,0,0,0,8627640.4872,154967136,0,3189960.0119999996,0,9188100.348,2792786.4,714334147.1999999,45312,0,0,0,0,0,0,0,0,0,455152001.02439994,19507769.7948,126453.564
AIA,0,0,0,0,0,0,622483.9968,0,0,204387.804,15574.102799999999,7536.009599999999,0,0,165974.43959999998,0,0,0,0,82135.5096,0,0,0,0,0,202290.69599999997,0,0,1419436.8,1441296,0,0,40303272.2988,0,1472128.0632,33079.1676,136304898.9216,0,0,0,0,0,0,34683.876,0,0,8032.679999999999,0,0,0,0,2702.4,13575.9768,1201.9271999999999,456206.2104,152618.3664,2438293.6716,0,0,0,0,131356.7508,0,0,845721.1716,0,427368.8268,0,0,0,1554423.7584,0,0,0,0,0,0,0,28366.433999999997,8991.1116,0,139074,131964.5892,0,0,0,0,33049.2,124877.50200000001,278154.9828,32.4384,0,0,0,0,1759544.0999999999,630525.852,0,2891564.724,0,619.0572,0,0,0,0,0,0,0,344294.39999999997,0,0,0,15.634799999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1683.4535999999998,0,0,0,0,0,0,2335996.9475999996,519351.816,0,0,231277.8456,0,0,0,12530.916,1680,0,0,35701.2,0,63967.851599999995,0,0,0,0,0,0,0,62433.6204,202779.5148,0,0,60565.505999999994,0,0,0,0,0,0,0,0,0,0,0,7866.8784,0,51799.39919999999,0,0,1664.322,0,0,0,0,164927.916,0,0,0,0,0,0,0,405187.2,0,0,0,0,0,84236826,0,0,171520.4148,0,0,0,0,0,0,0,10310.3676,0,0
ALB,0,0,0,0,0,31.1448,51360990.5088,8662208.088,6948,4692.3516,1756953.2928,102052645.65599999,1141096.9679999999,0,48529430.022,0,0,0,0,171970167.96719998,17411202.7956,0,26696630.987999998,0,0,0,0,0,120587082,21039.6,2693.8091999999997,0,0,4000.4256,72666066.6408,74902098.8352,518117.79480000003,1312755661.2,2052983.8536,0,0,0,0,14758759.908,0,0,2728495.86,0,0,0,5002091.364,122801821.19999999,529536923.61,51779.0232,0,24076663.679999996,9920.496,0,19586616.96,96045259.6476,0,110724877.686,1554924.996,0,4849823.2236,0,93498341.64479999,0,0,308942.8404,66038918.41199999,118794.15839999999,83381.82959999998,0,0,0,0,0,925493732.466,5856.4452,0,12,0,5140556.3184,0,119280489.6,0,142976004,15850222.143599998,1636586923.1663997,18205468.5372,0,0,1716.552,38309107.199999996,2314904186.3939996,0,613776.1331999999,5122370.9532,39000.551999999996,168219.69239999997,174242.4,0,0,0,0,194525.4888,0,457743.6,0,0,0,6466335.814799999,0,8444869.2,539939.8416,2503658.892,0,10460205.2316,3160864.8,0,0,251846.4,0,123396735.48119998,0,1038940.4135999999,0,28996043.0268,0,0,0,0,0,151012.8852,0,20826782.9256,0,0,0,28743.0504,20935.319999999996,0,150144121.5084,8862221.5944,0,0,205213.52399999998,2577887.1216,8603672.2752,430389.6,902160.672,61113.6,0,0,151494192,0,9238530.362399999,15217625.052000001,0,0,10119928.0788,100609950.85199998,0,0,10105360.4736,19183686.880799998,0,1534630.4004,6127472.7924,0,0,0,0,0,0,0,312201493.2,0,126.94559999999998,0,51347619.852,109443960.73079999,18014428.4712,9525.576,0,0,0,0,0,0,10628633.078400001,0,0,0,0,0,0,20376565.964399997,915767637.6,0,8016,0,36247188.12,99920.4,167095594.79999998,507240,0,0,0,0,0,0,0,0,0,48390517.431600004,0,0
AND,0,8012.699,0,0,154310.182,244005.171,89813.329,33426.881,157156.134,0,117734.602,14769933.474,0,53813.617,8345581.911,0,0,0,10066044.355,1167090.171,700.62,0,233836.53,0,90963.161,0,0,516.097,464124.134,22981.03,3479.644,0,0,0,1420343.125,32867373.352,28574.199,62652110.92,1829.818,57.423,0,96.484,0,54869.787,481.968,0,58936.988,3767846.649,0,0,8562.657,4813680.874,110766210.401,0,0,949288.763,863867.621,570660.482,2449.05,1928770.884,1207.947,1289598032.347,121199.56,15820.61,1107279.986,5060.237,212938539.75,0,0,28.052,24898393.174,21758.052,229.056,0,103.751,0,0,0,260723.024,3244.262,0,30985.219,9981.29,655471.214,132609.414,99153.569,17573.365,943377.655,2132657.461,2355036.022,1870338.26,13953.148,0,3423.15,104419.741,62168925.993,25092.504,98139.175,6964998.394,0,3755.644,0,1846214.276,0,0,4445764.49,30778.786,125544.73,1286.89,0,0,0,459642.513,0,503150.818,1995979.528,1277252.536,6635.899,660794.853,98413.463,84469.814,0,828280.193,0,115470.313,191.887,36923.861,1090896.886,0,44973.675,0,0,0,0,44624.787,26672.979,410208.434,0,0,0,0,169308.751,0,19593395.517,2098519.377,2904.609,429301.804,25831.64,531.41,1710379.398,355891.654,89862.458,430500.699,0,116.145,10181116.956,0,14172942.742,2777.715,0,320.425,33511.406,6097261.381,26517.481,2777.953,17611450.537,230.148,0,0,243195.998,0,0,3971.625,42333.095,80329.952,1408.312,0,6678.734,0,0,0,429283.788,159527.441,2177848.656,0,0,0,2588.488,570.947,0,0,4332274.961,0,0,0,0,50.697,6990.248,1935481.286,9450065.913,0,8807.554,8358.159,429198.15,0,21303.985,1064.464,0,0,53649.685,0,10291935.484,0,0,0,0,947686.87,0,3802.372
ARE,405024.084,38606727.856,1586225999.691,133069.434,37147929.146,329708.516,0,356249349.831,3360769812.53,63625.795,3422871816.299,1305665376.871,68291953.84,117489427.017,3597919176.01,805605444.673,195.221,471380545.971,820465850.36,169120788.609,2832312289.695,203394.578,38730585.274,86917.923,76252950.206,263873.302,22924.963,923955805.03,3786966618.81,311094.894,362064.886,24603.651,1851563309.205,122884346.916,2579906946.14,11209525120.246,199831297.159,77419156210.182,77503099.704,899022877.656,1452207730.222,2704304080.142,29193.633,464069174.126,11035561.342,229143.49,46297563.859,3422070.957,3691973.917,8059.088,38499100.39,1100961554.492,11298662859.085,5431831.685,217856.244,603193682.361,30197006.051,10714326.388,635749367.407,2417192926.087,137112196.217,2260435904.766,108076914.706,301474468.581,327321097.433,2908622.201,8584648473.368,0,11427.319,53137701.144,8817346677.713,15109946.944,3254002919.245,6047.322,9047661687.031,1639002.348,4671.635,2448030.646,330500634.921,347443.612,715537.429,102551277.294,678378828.781,3822065615.137,12226999.435,52013416.712,2214337.517,913008597.962,3759953351.766,30449187408.881,945178115.659,453102918.007,5651169461.214,1917974.816,665166359.111,10073225232.96,625237.309,758208727.214,15171997163.08,164076500.458,841047145.276,926578375.223,327027052.907,1743611.491,106299.885,4642107023.673,2551818606.448,15496593.961,940421190.539,67928133.164,1850195169.145,4901.419,274221073.826,95271602.464,198236020.713,175640430.861,50085413.218,11179390.392,209196506.583,9220290.288,116773767.378,1529516.728,2113734040.497,355999.023,6279337.891,4831720725.295,45747449.475,113833491.525,989342.665,524662.044,166.952,610534543.896,236947730.87,16253.865,13048038.508,25127847.701,3008957920.152,305449577.393,36622.071,433301097.882,1320738065.637,18208383.276,149.666,1953582113.68,418525240.383,4564527.584,53132.48,655464978.213,2975842475.309,3656974967.385,2740436.798,1164704431.122,806374999.241,184399.001,35789932,1746549848.069,0,410662898.21,147482251.07,14270555.985,791005.456,2115980033.916,680233260.931,6447189609.542,895328456.67,2139672747.604,7870108774.653,1086180147.95,239580383.758,2432029653.58,851.172,361469.281,47760152.183,3935783.893,8825523.468,359532729.519,3485.364,75650896.913,67031610.109,1953368.095,651205960.489,739104771.042,171181969.393,1528725812.905,8560082.707,0,4118548.604,69104518.231,703382.273,1114014493.302,2652286503.868,5547852159.034,12135918.556,229370.695,16100771.697,687.818,1961724.188,723597.965,130353416.747,17655819581.594,8068.596,1572809484.079,926307121.806,264303176.124,21339144.196,26869233419.732,396268828.185,0,114910.276,18293452.069,1642.334,11053924926.421,2195.169,166.878,1256.496,293828969.595,5022254957.227,1927533734.027,2323774396.258
ARG,404.04,173004.77,0,0,536995.6,64538.49,196936628.21,34549608.89,3351873.52,0,359976943.56,268142143.51,29.58,0,358796025.37,127462.45,0,11683.1,27007124.69,16951317.62,31650065.38,69211.01,2388754.41,0,590730.22,5370.79,0,1189707449.31,17295443374.55,151011.91,20231.38,1362.08,231.25,0,409384415.09,548293091.7,733340720.26,14477565628.23,1751339.67,89510.32,2121.99,269.17,0,388784023.07,20302.15,468.7,22662314.61,4286926.12,0,0,520197.83,215139040.76,2783719688.97,0,3795.54,218303432.4,5553113.51,106954007.86,336027031.53,267867462.57,0,1261093758.78,6132881.13,107442.19,156933473.06,318.19,1096265129.64,0,0,588664.58,602262355.26,2279953.52,724088.5,219.35,3250.38,7660.09,0,39444370.4,93794950.59,716578.84,0,5593909.81,2684.1,18298086.51,2226796.41,7462843.98,373204.02,290840527.66,334047577.71,1432395363.81,408562760.48,663174.89,147063.77,1333585.27,184069907.41,1811258015.73,7195.95,1897346.84,1222156868.29,34127875.61,613417.72,84.99,26791445.27,0,5282.11,668356726.12,12677961.35,12689398.51,180651.52,451.1,0,2071.94,12626813.62,0,81670273.21,13448333.63,3608639.47,667866.55,467084048.29,439902.81,2340518.17,4931.77,1561659415.81,0,1225625.88,7249.78,1544118.22,8761867.82,2564.24,1282.2,0,282122.89,0,0,629691.62,242790.53,298871324.19,8162.62,0,242595.51,103783048.56,890060.82,0,702505882.29,53267409.98,31144.44,1860.34,21162335.85,15375337.3,60177766.95,1188198.85,232339304.19,117613676.33,0,47412.45,256520825.73,0,102489785.97,3911732424.88,0,0,112960117.02,117356722.25,139817857.06,28801.29,458032260.05,273655110.5,360278.36,4589.76,125428233.57,0,0,12436.25,5758921.17,219599.71,812280.35,0,21867984.6,0,25314.99,895.18,68781567.01,25312638.15,333883963.76,37285.93,1246.44,77837.27,1018.68,0,410.2,0,1799019012.98,0,0,27967292.23,0,31.32,126830898.94,32639621.11,310552122.03,0,116457.76,3982.78,10110491.12,567484699.7,8629761280.04,277849.34,0,0,1148908.2,0,1393286602.28,0,0,0,180.47,152891340.94,35727.82,315771.6
ARM,0,81834.44,3394125.72,442892.13,1337033.21,38834.14,73272340.54,7945942.27,0,0,2915700.57,77763463.6,0,0,57857405.45,0,22.54,107.25,28202009.91,42329142.65,6275.32,10587.49,735968.44,6.39,89708700.47,0,3142.33,7904.22,66357615.78,68206.83,70.62,21.07,3353670.04,118.28,78931464.59,42768389.53,6320624.27,1627863287.01,3125354.9,172395.72,2568.72,143091.99,1525,1763844.01,0,61.5,4852619.19,444201.85,215314610.15,0,1144790.18,41000526.17,482412006.34,0,8047.63,18203544.76,476397.11,84203.91,24210493.05,26712266.02,978.46,79782028.49,3921921.74,904400.61,43332472.96,10287.1,165847240.05,262683.91,43.28,1798.15,92128340.48,122249621.35,606697.38,0,6.47,0,0,0,53790750.14,8731.37,1280277.66,178345.54,1394.51,3734412.75,407481.58,3108722.42,3661.52,30090196.16,49912837.46,349173144.12,18005921.03,597232789.867,807062.05,1372499.03,18246371.68,349130717.02,24423.24,2254923.13,332317907.08,29163423.3,784710.7,434363.3,12111780.79,0,5219.54,145962565.42,3099.4,483968.27,1249705.53,114869.79,13488649.8,3378.59,4134888.26,171.74,7461958.64,922095.28,5806485.79,11814.35,6730758.7,3133069.81,283603.34,0,131874193,18234.91,3148747.65,1610.68,373809.38,4275582.3,216651.77,8119.81,0,23896.68,9780.39,0,5300016.86,72231.53,35919501.01,22226.68,0,0,847805.62,207909.02,4334.7,60054585.5,5493494.92,14018.25,847.47,19228103.73,394334.77,11117781.06,48698.78,3488740.12,4011110.73,0,114552.55,138405660.06,288369.04,14328227.9,233546.23,245384.47,400.04,250583,37602695.03,3881046416.85,65361.97,0,5444647.35,143063.83,1039820.07,7527308.38,9463.09,4.07,170755.17,44656.41,713828.5,3255,0,10709801.01,0,949.16,2960.72,21092545.5,17299518.25,39375173.69,9754.38,0,0,475090.09,35.48,19.05,0,71349275.78,99267.71,36.17,3054629.1,0,0,147.98,3980814.97,335765435.56,0,506878.89,2005032.33,77748561.4,1136177.32,549960719.09,26699248.61,0,0,1100.04,0,815197144.83,135.04,0,0,7418.18,8407260.73,252779.18,8144088.56
ATG,2973.267,0,2722.222,199500.907,0,758.248,1543422.832,733804.662,0,0,604316.062,163657.289,0,0,1445551.506,0,5437.037,0,45271.478,119365.044,1851.852,8049.041,34959.304,0,0,1258970.777,666.667,875.756,12579027.639,6600903.471,0,0,0,0,6089629.798,1970747.554,987231.321,27725400.391,0,33698.078,0,0,0,7052458.504,0,0,774425.155,79882.074,417361.892,48714.241,1123627.491,43646.444,7165286.5,0,1955745.498,1784570.791,11523045.626,226.981,84924.993,150515.811,0,7500003.396,12447.204,0,4167049.666,131.059,9854724.327,0,13762.533,1224.741,26760352.418,64399.1,3164.456,0,111.111,0,0,0,69544.193,7002629.782,0,330454.111,3395364.763,2091290.787,963693.218,7635.289,3277.037,3413432.204,4313642.829,16526207.476,383426.492,2278.489,0,141.004,172060.948,11316472.1,10491226.119,2461.7,34296930.699,0,505.178,0,9185.189,0,1093570.017,5045274.558,0,0,237574.578,321271.966,0,3114685.152,11157.763,0,198218.67,17.085,65364.359,4276.822,54024.97,0,4178.463,1331.422,9158187.209,27395.407,253.122,19646.707,51.352,1747.067,0,115.704,0,0,0,795690.925,5577.6,0,1670033.432,225.633,55.556,38332.056,72965.833,13157.567,0,8095041.944,821304.814,1653.174,0,1291482.928,0,109328.315,4297415.303,1014993.592,28300.748,0,259.637,1094433.54,0,1123799.069,631885.985,1801.496,0,0,78468.326,32.863,0,555389.003,281555.015,58.804,0,164182.885,0,0,6984.337,282583.333,757.941,0,0,58590.052,0,0,932044.14,21109.144,107328.27,537517.377,1039677.84,4800377.754,0,32045.181,19343.078,0,57.019,5185687.117,0,7993.048,0,0,24195.504,28304868.431,64071.022,3700660.426,0,0,469.726,42191.211,156.696,339079154.431,0,0,3742601.548,20992.248,515649.959,1105931.532,1710.148,0,0,194.967,939427.999,0,0
AUS,0,778366.044,268423.099,69775.813,3862080.766,0,933141065.554,502705485.824,2151970.469,11070287.345,638225370.029,1656674075.376,111181862.491,728612.118,2147697272.955,12307.806,0,142090.978,962168353.602,81448137.699,157290464.068,41202.822,14121807.897,0,417420.209,1867518.027,225451.571,36017354.561,1022326666.319,2376739.183,2405300936.976,49099.368,2227202.87,46694.072,2774047347.795,2914985331.915,280508900.027,71820697468.717,14556011.486,592784.976,125372.688,97229.557,354516.169,113614523.416,152150.385,5191.62,149572479.896,8010501.229,143863.195,262505.617,29843112.735,781716678.522,12504216786.19,868833.113,63624.72,1397736017.245,56814720.297,179362678.683,19753592.041,61043008.786,27579.336,2218499155.274,100051830.806,30432062.847,1122177398.009,123164999.772,5131222740.071,0,147974.789,641113.91,5589011871.215,5614381.073,9646513.52,1174.382,50145.578,29552.308,5193.759,2937.534,244201745.101,46962.608,0,25746008.975,611688.476,644896786.803,73778083.699,51874301.407,1451815.42,718028836.5,3825584181.578,6246532084.521,1623661346.792,19655214.356,337260.997,12409396.552,547008579.956,6666042022.297,1288772.034,95840466.503,18108748780.338,8494555.346,35065387.315,112281.652,488509387.956,259113.098,64356.833,18096560870.864,1528797.568,366861102.299,20474343.016,42054.701,204658729.27,106066.621,232457964.599,587693.842,148130744.762,23671873.514,53912843.281,3032715.27,154992157.435,4688627.498,13782008.964,103814.594,2971281567.419,115812.486,13751167.974,335318914.04,45920981.371,48270611.015,547233.536,575098.572,14937.153,1053015.179,124354170.297,22996.762,10086745.657,133590.804,12790999311.025,10095125.816,9931845.454,1123042.076,125463917.435,22187609.918,57327.46,2208596211.964,423195771.982,12488029.888,451615.184,5285384204.564,141338719.071,297806010.305,3671301.496,102655679.905,698148633.772,4690.84,2073497453.878,1307110788.337,0,408822089.956,6309783.398,0,1874616.504,332336556.483,246115234.858,8607372.569,1845413.584,6147187326.041,702750071.509,98541.398,234560026.124,11047896332.766,818829.497,59559546.042,3638298.133,13895579.817,0,31293.416,0,67975675.907,26477.084,73499.36,761157.63,601312358.733,167007856.024,1810374941.243,219408.431,0,2261872.068,1525564.384,361916.704,151838.504,33723437.797,13083316343.515,7981.299,0,13095.5,2018210.988,2332799.219,5181567.374,54822949.415,991161882.284,331417.188,7715368.019,5482718.208,38251104.326,16308814.328,32482459444.743,369410.59,0,32603.329,917451.36,197832.134,6558068079.298,6201839.104,2453.044,2919524.094,75927.716,1117448547.198,1227955.237,412459.353
AUT,26979.815,2126819.694,82947.36,20686.831,70891438.356,516538.239,254045433.318,94733058.933,9822406.334,200964.586,231357107.907,0,339594981.593,167567.442,3165913914.48,49146.903,0,3801054.944,1050534718.596,1007605522.54,69621666.771,481932.237,1025369423.031,62596.803,7027370.202,509394.297,20217.561,35759556.854,427896853.728,4974130.838,190431.948,945806.206,70136.489,102882.709,764043458.845,12522373935.156,347789799.687,16339720323.874,40409164.379,5781998.525,650175.471,508802.843,8567.973,126737739.664,98001.863,59810.374,66041680.44,925010.167,4742.444,114192.779,17762929.512,9081594136.188,68901640828.662,208744.313,79655.978,830178048.373,37397566.362,190998931.831,74188771.337,107088518.663,43609.726,3275435774.108,68424339.102,5547262.677,651280051.045,181537.432,5712664646.752,558741.234,38015.242,247321.815,3311901646.982,10342138.641,21519060.988,1971658.728,5575231.852,10628.871,230737.317,3374.639,536983210.795,538250.113,673875.798,9064594.897,413679907.893,917500073.803,11139744.007,1022360187.585,493018.484,5445215464.858,426310355.858,1511343845.066,789238132.479,16346201.627,404368647.51,88092630.438,364977029.348,13950423085.738,844968.176,9187412.956,3006381535.45,1886769819.687,17117364.57,1610844.796,303252879.376,1669.479,36372.795,1263384397.052,4109732.265,21644471.929,3201064.393,385862.601,1160628488.23,5327.41,128461852.754,67896.1,320053675.526,397741476.45,82653742.234,1481407.211,353174755.294,66202630.518,14801101.208,2355371.767,703547859.255,491.977,164416831.611,697490.705,37279058.239,186602108.69,2745691.357,5739965.289,1751.655,9198128.328,4839970.272,28604.961,8087696.812,359770.508,632165840.676,4850281.249,3397321.135,1555556.287,7404601.036,2522341.267,22915.326,5904840376.204,543701150.031,4090881.428,244150.454,61174520.588,6081952.172,255860529.756,3998976.839,122623726.656,336960089.994,1534.32,6300405.196,7067911440.515,10134567.504,608340312.62,3108357.503,533065.43,277157.26,25280699.365,2415406602.309,387023924.588,19012576.525,1586813052.541,478364485.925,119924.584,963335.733,449772575.496,12222.66,9498.945,4841644.076,3564005.18,22295444.295,77821.065,0,875773006.248,8783.145,188991.698,200479.096,3731843671.268,3315260774.465,2237188616.979,774565.695,37151.309,97754.252,655326.635,36531.742,494419.808,1671925.66,881408513.419,58312.817,25301.686,1510444.679,3939.062,395.744,820632.063,217519681.95,3023888871.442,51049.935,3180674.91,11730833.555,1005005581.868,79666773.353,8548243869.017,13887444.361,198157.612,92346.828,2403275.211,665160.773,1532507595.779,2317.159,52.982,3901.217,48395.421,728516195.254,249392.445,2391283.942
AZE,0,51699.93,1907594.86,0,576877.81,813.93,58978000.8,55749834.79,0,0,11688971.33,90882088.58,3930710.96,4385.1,76246907.05,0,0,146296.72,23921787.5,29004440.14,946309.39,0,1826989.48,0,324568145.51,1647.71,0,309503.86,207490515.14,1946.54,719.97,0,0,34442.21,29050580.02,73830622.38,4730414.8,3022810537.85,295875.84,36597.73,230.46,0,629.94,1441157.78,14803.93,0,3558904.35,335839.23,193048.06,0,840626.39,83054073.82,910364976.83,0,27952.07,33199147.21,466612.42,598893.4,42257045.77,12599827.81,17413.4,103138353.88,6936877.4,205617.77,99767296.66,5385.61,403135615.76,134568.28,157.78,0,342873658.38,126215482.53,25468.86,39.07,0,0,0,123.08,32341554.85,0,2044215.53,1343979.97,193.9,2754219.27,19220.75,4785053.48,11510.24,43617177.2,73318364.98,200771503.13,32125598.51,473082617.26,120372.29,4107388.47,41912400.5,477787262.45,11185044.7,7113963.24,435287669.83,215638836.64,3138836.51,5640012.61,5522285.8,0,489.12,428091137.81,197442.56,217420.55,755081.73,0,305.36,0,63609631.66,96.28,53199841.31,3555381.84,19764686.22,13764.39,5806791.68,5135589.07,537850.88,5502.33,53839155.01,0,1553414.99,7507.7,168225.92,4708949.21,346725.07,244498.75,0,3505,132703.05,0,67170.24,454629.89,54427837.9,38420.1,84.67,5705.34,13439.58,33989.45,0,113014257.85,30330400.6,7028.08,0,47353966.6,326435.97,20116814.4,2156,2043877.09,7901567.8,0,795.58,149566932.29,39789.7,13733475.81,409271.21,442098.24,77859.28,5515389.09,65658863.93,3160252295.18,22243.49,27096395.83,25931365.02,32001.91,0,24604791.62,0,0,29443.85,14112.1,803385.96,960000,0,10870516.02,0,0,2995.04,61750167.98,28702157.54,57707052.94,475.01,0,18742.72,301963.95,0,0,2449.74,66902185.83,1123078.55,232.31,687309162.99,0,6393.04,30067.91,6913745.71,2289983021.39,0,789950.81,18447.63,235046278.13,6823637.66,889000249.2,131628194.95,0,0,1857.36,793.24,136336199.98,0,0,0,0,8485038.62,153567.29,932429.02
